gender,age
male,30
male,16
male,45
female,40
male,36
male,68
male,40
male,25
female,35
female,47
male,49
female,30
male,60
male,35
female,29
male,57
male,26
male,55
male,48
male,48
male,40
female,36
female,49
female,50
male,40
male,39
female,35
male,35
male,37
female,37
male,38
male,38
female,45
male,49
female,26
male,39
male,35
male,19
male,37
male,55
male,39
male,40
female,47
male,56
male,19
female,35
female,37
female,37
male,39
male,36
female,26
male,49
male,49
female,38
male,35
male,35
male,46
female,26
male,45
male,30
male,25
female,30
female,38
male,40
male,27
female,27
male,40
male,37
male,39
male,50
male,35
male,77
male,37
male,55
female,35
male,36
male,29
female,36
male,47
male,36
female,35
male,35
male,36
male,35
male,38
male,47
male,35
male,29
male,45
male,37
male,14
male,55
male,38
male,45
male,57
male,39
male,37
male,40
male,30
male,58
male,46
male,35
male,37
male,37
male,48
male,45
male,37
female,20
male,38
male,50
female,40
male,47
female,27
male,36
female,37
male,30
male,29
male,35
male,29
male,37
male,59
female,50
male,48
female,35
female,37
male,37
male,30
male,38
male,27
male,35
female,38
male,36
male,39
male,37
male,35
male,36
male,35
male,47
male,37
male,35
male,30
male,55
male,46
male,30
male,65
male,38
male,37
male,36
female,37
female,58
male,40
male,37
male,37
male,46
female,40
male,35
male,36
female,37
female,49
male,50
female,49
male,26
male,30
male,39
male,45
male,35
male,36
male,38
male,59
male,40
male,37
male,38
female,45
male,45
male,25
male,38
male,46
female,35
male,36
male,36
female,35
male,55
male,37
male,39
male,36
male,39
female,39
male,45
male,46
male,45
male,58
male,36
male,39
male,35
female,37
male,38
male,28
female,36
male,35
male,37
female,39
male,28
male,46
male,47
male,48
male,37
male,27
female,46
male,50
male,50
female,39
male,27
male,38
male,39
male,35
male,39
male,35
female,30
male,37
male,37
male,38
male,25
male,25
male,37
female,38
male,59
male,40
male,29
male,40
male,47
male,45
male,47
male,40
female,38
female,48
male,39
male,39
male,36
male,36
male,46
male,28
male,45
male,40
male,45
female,38
female,49
male,45
male,48
male,39
male,35
male,48
male,35
male,27
male,37
male,35
male,49
male,35
male,57
male,37
male,45
male,35
male,40
female,27
male,36
female,47
female,36
male,68
male,37
female,39
male,35
male,107
male,36
male,46
female,38
male,36
male,46
male,38
female,36
male,48
male,20
male,35
male,47
female,38
male,39
male,37
female,30
male,56
male,48
female,35
male,37
male,49
male,69
male,36
male,36
male,47
male,28
male,39
female,39
male,38
female,48
male,36
male,28
female,37
male,39
male,48
female,36
male,37
male,38
male,37
male,40
female,29
male,39
male,36
male,37
male,47
male,35
male,38
male,77
male,47
male,38
female,108
male,40
male,36
female,36
male,45
male,39
male,39
female,35
female,39
female,35
female,28
male,38
male,30
male,50
male,45
male,38
male,38
male,37
male,37
male,36
female,39
male,28
female,36
male,65
female,38
male,38
female,36
male,50
male,58
male,38
male,36
male,37
male,36
male,57
male,35
male,46
male,57
male,28
male,35
male,37
male,56
male,37
female,38
male,47
male,35
male,35
female,38
male,37
male,35
male,57
male,37
male,58
male,47
female,16
male,35
male,40
female,60
male,37
male,49
female,46
male,38
male,28
male,40
male,59
female,50
male,20
male,28
female,35
male,40
male,47
male,55
male,35
male,47
male,37
male,56
male,37
male,28
female,35
female,49
male,35
male,46
male,58
male,76
female,36
female,35
male,25
male,35
male,37
male,39
male,50
male,36
male,28
female,47
female,36
female,30
male,25
male,69
male,48
female,50
male,35
male,78
female,35
female,40
female,17
male,48
male,48
male,38
male,57
female,38
male,40
male,37
female,29
male,48
male,37
male,37
male,48
female,39
male,25
male,35
male,36
female,40
male,48
male,35
male,30
male,28
male,36
male,35
female,35
male,39
male,35
female,40
male,47
male,35
female,37
male,49
male,45
male,40
male,48
female,35
male,40
male,39
male,35
male,30
male,35
male,38
male,28
female,38
male,46
female,30
male,46
male,25
male,39
male,49
male,25
male,37
male,39
male,47
male,37
male,39
female,28
male,45
male,29
male,40
male,46
male,38
male,38
male,38
female,35
male,37
